Model,Domain,Task,Organization,Authors,Publication date,Reference,Link,Citations,Notability criteria,Notability criteria notes,Parameters,Parameters notes,Training compute (FLOP),Training compute notes,Training dataset size (total),Dataset size notes,Training time (hours),Training time notes,Training hardware,Approach,Confidence,Abstract,Epochs,WikiText and Penn Treebank data,Model accessibility,Country (of organization),Base model,Finetune compute (FLOP),Finetune compute notes,Hardware quantity,Hardware utilization (MFU),Last modified,Training cloud compute vendor,Training data center,Archived links,Batch size,Batch size notes,Organization categorization,Foundation model,Training compute lower bound,Training compute upper bound,Training chip-hours,Training code accessibility,Accessibility notes,Possibly over 1e23 FLOP,Training compute cost (2023 USD),Utilization notes,Numerical format,Frontier model,Training power draw (W),Training compute estimation method,Hugging Face developer id,Post-training compute (FLOP),Post-training compute notes,Hardware utilization (HFU),Open model weights?
ALIGN,"Multimodal,Vision,Language","Representation learning,Image classification,Image representation",Google Research,"Chao Jia, Yinfei Yang, Ye Xia, Yi-Ting Chen, Zarana Parekh, Hieu Pham, Quoc V. Le, Yunhsuan Sung, Zhen Li, Tom Duerig",2021-06-11,Scaling up visual and vision-language representation learning with noisy text supervision,https://arxiv.org/abs/2102.05918,5463.0,"Highly cited,SOTA improvement","""The aligned visual and language representations... set new state-of-the-art results on Flickr30K and MSCOCO image-text retrieval benchmarks""",820000000.0,"From author communication

480M (image tower) + 340 M (text tower)",2.598670000001e+22,"From author communication
14.82K TPUv3 core-days
Precision: bfloat16

Estimation
TPUv3 at float16: 123 TFLOPS/chip

123*10^12 TFLOPS/chip * (1 chip / 2 cores) * 14820 TPU core-days * 86400 s/day * 33% utilization = 2.599*10^22 FLOP
https://www.wolframalpha.com/input?i=14820+days+*+123+teraFLOPS+%2F+2+*+0.33",1800000000,"Dataset contains 1.8B image-text pairs, then some duplicates are removed.",347.3,14820 TPU core-hours / 1024 TPU cores = 347.3 hours,Google TPU v3,Self-supervised learning,Confident,"Pre-trained representations are becoming crucial for many NLP and perception tasks. While representation learning in NLP has transitioned to training on raw text without human annotations, visual and vision-language representations still rely heavily on curated training datasets that are expensive or require expert knowledge. For vision applications, representations are mostly learned using datasets with explicit class labels such as ImageNet or OpenImages. For vision-language, popular datasets like Conceptual Captions, MSCOCO, or CLIP all involve a non-trivial data collection (and cleaning) process. This costly curation process limits the size of datasets and hence hinders the scaling of trained models. In this paper, we leverage a noisy dataset of over one billion image alt-text pairs, obtained without expensive filtering or post-processing steps in the Conceptual Captions dataset. A simple dual-encoder architecture learns to align visual and language representations of the image and text pairs using a contrastive loss. We show that the scale of our corpus can make up for its noise and leads to state-of-the-art representations even with such a simple learning scheme. Our visual representation achieves strong performance when transferred to classification tasks such as ImageNet and VTAB. The aligned visual and language representations enables zero-shot image classification and also set new state-of-the-art results on Flickr30K and MSCOCO image-text retrieval benchmarks, even when compared with more sophisticated cross-attention models. The representations also enable cross-modality search with complex text and text + image queries.",,,Unreleased,United States of America,,,,512.0,,2026-05-25 12:14:25+00:00,,,,16384.0,,Industry,,,,177818.0,Unreleased,,,32852.91660437908,,,,466135.13260508416,Hardware,,,,,No
Denoising Diffusion Probabilistic Models (LSUN Bedroom),Vision,Image generation,University of California (UC) Berkeley,"Jonathan Ho, Ajay Jain, Pieter Abbeel",2021-06-11,Denoising Diffusion Probabilistic Models,https://arxiv.org/abs/2006.11239,30642.0,"Highly cited,SOTA improvement","Novel approach to image synthesis that yields SOTA results on datasets like CIFAR-10

Abstract: 
""On the unconditional CIFAR10 dataset, we obtain an Inception score of 9.46 and a state-of-the-art FID score of 3.17. """,256000000.0,"Appendix B: 
"" Our CIFAR10 model has 35.7 million parameters, and our LSUN and
CelebA-HQ models have 114 million parameters. We also trained a larger variant of the LSUN Bedroom model with approximately 256 million parameters by increasing filter count.""",7.840125000000001e+19,"Numbers in Appendix B
""Our CelebA-HQ/LSUN (2562) models train at 2.2 steps per second at batch size 64, [...] The larger LSUN Bedroom model was trained for 1.15M steps.""
10.6h for the CIFAR model (batch size 128, 21 step/s)
2.2 step/s for the LSUN model, 1.15M steps so 702.8 hours

1 step takes 1/2.2 =0.4545 seconds
1.15M steps * 0.4545 seconds = 522675 seconds = 145 hours

This is for TPUv3-8's, which seems to mean 8 cores (standard chip is 125 teraflop/s for 2 cores) -> 4 chips
https://cloud.google.com/tpu/docs/regions-zones

1.25E14 FLOP/s * (4 chips) * 522675 seconds * 0.3 = 78401250000000010000",596320321536,"""We trained on CelebA-HQ for 0.5M steps, LSUN Bedroom for 2.4M steps, LSUN Cat for 1.8M steps, and LSUN Church for 1.2M steps.""

""The CelebA-HQ dataset is a high-quality version of CelebA that consists of 30,000 images at 1024×1024 resolution.""
https://paperswithcode.com/dataset/celeba-hq

LSUN bedroom has 3,033,042 examples. LSUN cat has 1,657,266 examples. LSUN church has 126,227 examples.
https://www.tensorflow.org/datasets/catalog/lsun
",,,Google TPU v3,,Confident,"We present high quality image synthesis results using diffusion probabilistic models, a class of latent variable models inspired by considerations from nonequilibrium thermodynamics. Our best results are obtained by training on a weighted variational bound designed according to a novel connection between diffusion probabilistic models and denoising score matching with Langevin dynamics, and our models naturally admit a progressive lossy decompression scheme that can be interpreted as a generalization of autoregressive decoding. On the unconditional CIFAR10 dataset, we obtain an Inception score of 9.46 and a state-of-the-art FID score of 3.17. On 256x256 LSUN, we obtain sample quality similar to ProgressiveGAN. Our implementation is available at this https URL",,,Open weights (unrestricted),United States of America,,,,,,2026-05-25 12:13:37+00:00,,,,,,Academia,,,,,Open source,"https://github.com/hojonathanho/diffusion

everything is openly avaiable but no license or terms of use information

train code: https://github.com/hojonathanho/diffusion/blob/master/scripts/run_lsun.py ",,436.308484475363,,,,,Hardware,,,,,Yes
DeBERTa,Language,"Language modeling/generation,Question answering",Microsoft,"Pengcheng He, Xiaodong Liu, Jianfeng Gao, Weizhu Chen",2021-06-10,DeBERTa: Decoding-enhanced BERT with Disentangled Attention,https://arxiv.org/abs/2006.03654,3764.0,"Highly cited,SOTA improvement","""DeBERTa significantly outperforms all existing PLMs of similar size on MNLI and creates a new state of the art""",1500000000.0,"""...we scale up DeBERTa by training a larger version that consists of 48 Transform layers with 1.5 billion parameters""

Other versions are smaller and use a smaller pre-training dataset. These are distinguished in the paper (e.g. DeBERTa1.5B is the version of DeBERTa with 1.5 billion parameters).",2.588e+22,"Table 8: 16 DGX-2 nodes (x16 V100s each) for 30 days
16 * 16 * 1.3e14 * 30 * 24 * 3600 * 0.3 = 2.588e22",20800000000,""" DeBERTa is pretrained on 78G training data""

1GB ~ 200M words",720.0,30 days (Table 8),NVIDIA V100,Self-supervised learning,Confident,"Recent progress in pre-trained neural language models has significantly improved the performance of many natural language processing (NLP) tasks. In this paper we propose a new model architecture DeBERTa (Decoding-enhanced BERT with disentangled attention) that improves the BERT and RoBERTa models using two novel techniques. The first is the disentangled attention mechanism, where each word is represented using two vectors that encode its content and position, respectively, and the attention weights among words are computed using disentangled matrices on their contents and relative positions, respectively. Second, an enhanced mask decoder is used to incorporate absolute positions in the decoding layer to predict the masked tokens in model pre-training. In addition, a new virtual adversarial training method is used for fine-tuning to improve models' generalization. We show that these techniques significantly improve the efficiency of model pre-training and the performance of both natural language understanding (NLU) and natural langauge generation (NLG) downstream tasks. Compared to RoBERTa-Large, a DeBERTa model trained on half of the training data performs consistently better on a wide range of NLP tasks, achieving improvements on MNLI by +0.9% (90.2% vs. 91.1%), on SQuAD v2.0 by +2.3% (88.4% vs. 90.7%) and RACE by +3.6% (83.2% vs. 86.8%). Notably, we scale up DeBERTa by training a larger version that consists of 48 Transform layers with 1.5 billion parameters. The significant performance boost makes the single DeBERTa model surpass the human performance on the SuperGLUE benchmark (Wang et al., 2019a) for the first time in terms of macro-average score (89.9 versus 89.8), and the ensemble DeBERTa model sits atop the SuperGLUE leaderboard as of January 6, 2021, out performing the human baseline by a decent margin (90.3 versus 89.8).",49.2,,Open weights (unrestricted),United States of America,,,,256.0,,2026-05-25 12:13:39+00:00,,,,,,Industry,,,,,Open source,"MIT

https://github.com/microsoft/DeBERTa

pretrain code: https://github.com/microsoft/DeBERTa/tree/master/experiments/language_model ",,6682.2289986716,,FP16,,155381.83775233384,Hardware,,,,,Yes
CoAtNet,Vision,Image classification,"Google,Google Research,Google Brain","Zihang Dai, Hanxiao Liu, Quoc V. Le, Mingxing Tan",2021-06-09,"CoAtNet: Marrying Convolution and Attention
for All Data Sizes",https://arxiv.org/abs/2106.04803v2,1589.0,SOTA improvement,"""Notably, when we further scale up CoAtNet with JFT-3B, it achieves 90.88% top-1 accuracy on ImageNet, establishing a new state-of-the-art result.""",2440000000.0,,4.27e+22,"20.1K TPU-v3 core-days

TPUs have two cores per chip, and a chip is 123 teraflop/s 
https://cloud.google.com/tpu/docs/system-architecture-tpu-vm#tpu_v3

123 teraflop/s * 20100/2 * 24 * 3600 * 0.4 (utilization assumption for non-language models) = 4.27e22",88779000000000,"Used JFT-3B (3 billion images), but not stated for how many epochs. 

Based on GPU time, training took 4.27e+22 FLOPs. Table 5 indicates 2.586e12 FLOPs per image. Since training is roughly 3x the FLOP cost of inference, implies inference on full training set took 1.42e22 FLOP
Then # images trained over is around 1.42e22 / 2.586e12 = 5,491,105,955

So probably ~1.83 epochs on 3B images",,,Google TPU v3,,Confident,"Transformers have attracted increasing interests in computer vision, but they still fall behind state-of-the-art convolutional networks. In this work, we show that while Transformers tend to have larger model capacity, their generalization can be worse than convolutional networks due to the lack of the right inductive bias. To effectively combine the strengths from both architectures, we present CoAtNets (pronounced “coat” nets), a family of hybrid models built from two key insights: (1) depthwise Convolution and self-Attention can be naturally unified via simple relative attention; (2) vertically stacking convolution layers and attention layers in a principled way is surprisingly effective in improving generalization, capacity and efficiency. Experiments show that our CoAtNets achieve state-of-the-art performance under different resource constraints across various datasets: Without extra data, CoAtNet achieves 86.0% ImageNet top-1 accuracy; When pre-trained with 13M images from ImageNet-21K, our CoAtNet achieves 88.56% top-1 accuracy, matching ViT-huge pre-trained with 300M images from JFT-300M while using 23x less data; Notably, when we further scale up CoAtNet with JFT-3B, it achieves 90.88% top-1 accuracy on ImageNet, establishing a new state-of-the-art result.",1.83,,Unreleased,"United States of America,United States of America,United States of America",,,,,,2026-05-25 12:13:38+00:00,,,,,,"Industry,Industry,Industry",,,,10050.0,Unreleased,,,1887.1635925610951,,,,,Hardware,,,,,No
EMDR,Language,Question answering,"Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),McGill University,DeepMind","Devendra Singh Sachan, Siva Reddy, William Hamilton, Chris Dyer, Dani Yogatama",2021-06-09,End-to-End Training of Multi-Document Reader and Retriever for Open-Domain Question Answering,https://arxiv.org/abs/2106.05346v2,191.0,SOTA improvement,"""Experiments on three benchmark datasets demonstrate that our proposed method outperforms all existing approaches of comparable size by 2-3% absolute exact match points, achieving new state-of-the-art results.""",440000000.0,Table 2,1.91e+21,"""We run all of our experiments on a machine with 96 CPUs, 1.3TB physical memory, and 16 A100 GPUs. We use PyTorch (Paszke et al., 2019) to implement our proposed model. With this hardware setup, our experiments on NQ and TriviaQA took approximately 25 hours to complete, while experiments on WebQ took roughly 8 hours to complete. Before supervised training, we also perform a one-time unsupervised MSS pre-training for 82,000 steps that took roughly 1 week.""

1 week + 25 hours * 16 A100s
= ~193 * 16 A100-hours
= 193 * 16 * 3600 * 312 trillion * 0.3 = 1.04e21

Additionally, the model uses BERT, ICT, and T5 models. These required:
- BERT: 6 * 110M parameters * (1M * 256 * 256) inputs = 4.33e19 FLOP
- ICT: 6 * 220M parameters * (100k * 4096 * 256) inputs = 1.38e20 FLOP
- T5: 6 * 220M parameters * (1M * 2048 * 256) inputs = 6.92e20 FLOP

Total: 1.04e21 + 4.33e19 + 1.38e20 + 6.92e20 = 1.91e21",171600000000,"At the time of publication there were about 4B words (5.3B tokens) on English Wikipedia: https://en.wikipedia.org/wiki/Wikipedia:Size_of_Wikipedia#Yearly_statistics
BookCorpus has about 1B words (1.3B tokens), C4 has about 156B tokens, and OpenWebText has about 9B tokens.

From Table 6, it looks like all datasets were trained on for over one epoch.

BERT: 1M steps, batches of 256, sequence length 256 = 65.5B tokens vs 6.6B in Wikipedia + BookCorpus
ICT: 100k steps, batches of 4096, sequence length 256 = 104.9B tokens vs 5.3B in Wikipedia
T5: 1M steps, batches of 2048, sequence length 256 = 524.3B tokens vs 170.3B tokens in C4 + Wikipedia + OpenWebText

Total tokens: 171.6 billion

Some tokens were probably seen more times than others, but overall this corresponds to 4.05 epochs on the pre-training data. ",355.0,"""We run all of our experiments on a machine with 96 CPUs, 1.3TB physical memory, and 16 A100 GPUs [...] our experiments on NQ and TriviaQA took approximately 25 hours to complete, while experiments on WebQ took roughly 8 hours to complete. Before supervised training, we also perform a one-time unsupervised MSS pre-training for 82,000 steps that took roughly 1 week""

Additionally, they pre-trained BERT, ICT, and T5 models, which took a combined 8.733e20 FLOPs. On 16 A100s at 0.3 utilization, that would have taken approximately 162 hours.

So total time for the largest experiment (NQ or TriviaQA) is around:
25 + 168 + 162 = 355",NVIDIA A100,,Confident,"We present an end-to-end differentiable training method for retrieval-augmented open-domain question answering systems that combine information from multiple retrieved documents when generating answers. We model retrieval decisions as latent variables over sets of relevant documents. Since marginalizing over sets of retrieved documents is computationally hard, we approximate this using an expectation-maximization algorithm. We iteratively estimate the value of our latent variable (the set of relevant documents for a given question) and then use this estimate to update the retriever and reader parameters. We hypothesize that such end-to-end training allows training signals to flow to the reader and then to the retriever better than staged-wise training. This results in a retriever that is able to select more relevant documents for a question and a reader that is trained on more accurate documents to generate an answer. Experiments on three benchmark datasets demonstrate that our proposed method outperforms all existing approaches of comparable size by 2-3% absolute exact match points, achieving new state-of-the-art results. Our results also demonstrate the feasibility of learning to retrieve to improve answer generation without explicit supervision of retrieval decisions.",4.05,,Open weights (unrestricted),"Canada,Canada,United Kingdom",,,,,,2026-05-25 12:13:39+00:00,,,,,,"Academia,Academia,Industry",,,,,Open source,"https://github.com/DevSinghSachan/emdr2

training scripts: https://github.com/DevSinghSachan/emdr2/tree/main/examples ",,2773.3124307816734,,FP16,,,"Hardware,Operation counting",,,,,Yes
ViT-G/14,Vision,Image classification,"Google Brain,Google Research","X Zhai, A Kolesnikov, N Houlsby, L Beyer",2021-06-08,Scaling Vision Transformers,https://arxiv.org/abs/2106.04560,1393.0,SOTA improvement,"""we successfully train a ViT model with two billion parameters, which attains a new state-of-the-art on ImageNet of 90.45% top-1 accuracy""",1843000000.0,Table 2 of paper,5.85e+22,"Digitizing Figure 9 indicates training used 27,200 TPUv3 core-days. TPUv3 is 123 teraflop/s per chip, 2 cores per chip.

1.23e14 * (1/2) * 27,200 * 24 * 3600 * 0.4 = 5.78e22

Alternatively, Table 2 indicates 965.3e9 FLOPs per forward pass on a 224^2 image. Table 4 indicates 5 million steps at a (normalized) batch size of 4096, and total flops including backward pass would be 3x the FLOPs from forward passes alone, so we get:
4096 * 5e6 * 965.3e9 * 3 = 5.93e22

(Note that actual batch size appears to have been 32,768)

Geometric mean: sqrt(5.78e22*5.93e22) = 5.85e22

However note that this leaderboard claims ViT-G/14 took 34 PF-days, or 2.94e21 FLOPs: https://web.archive.org/web/20211218185755/https://lair.lighton.ai/akronomicon/",3000000000,"""For this study, we use the proprietary JFT-3B dataset, a larger version of the JFT-300M dataset used in many previous works on large-scale computer vision models [31, 18, 11]. This dataset consists of nearly 3 billion images, annotated with a class-hierarchy of around 30k labels via a semi-automatic
pipeline""

Epochs: 5M steps (Table 11) * 32768 (batch size) / 3B = 54.6 epochs",,,Google TPU v3,Self-supervised learning,Confident,"Attention-based neural networks such as the Vision Transformer (ViT) have recently attained state-of-the-art results on many computer vision benchmarks. Scale is a primary ingredient in attaining excellent results, therefore, understanding a model's scaling properties is a key to designing future generations effectively. While the laws for scaling Transformer language models have been studied, it is unknown how Vision Transformers scale. To address this, we scale ViT models and data, both up and down, and characterize the relationships between error rate, data, and compute. Along the way, we refine the architecture and training of ViT, reducing memory consumption and increasing accuracy of the resulting models. As a result, we successfully train a ViT model with two billion parameters, which attains a new state-of-the-art on ImageNet of 90.45% top-1 accuracy. The model also performs well for few-shot transfer, for example, reaching 84.86% top-1 accuracy on ImageNet with only 10 examples per class.",54.6,,Unreleased,"United States of America,United States of America",,,,2048.0,,2026-05-25 12:13:38+00:00,,,,32768.0,,"Industry,Industry",,,,,Open source,"About the weights: https://twitter.com/giffmana/status/1402507421029916672

About the code: Apache 2.0
https://github.com/google-research/big_vision/blob/main/big_vision/configs/proj/scaling_laws/train_vit_g.py",,3847.8613922131217,,BF16,,1864665.1010174437,"Hardware,Operation counting",,,,,No
Wu Dao 2.0,"Multimodal,Language,Vision,Image generation","Image captioning,Chat,Image generation,Text-to-image,Language modeling/generation,Question answering,Visual question answering",Beijing Academy of Artificial Intelligence / BAAI,"Tang Jie, Zhai Jidong, Yang Hongxia, Chen Wenguang, Zheng Weimin, Ma Zixuan, He Jiaao, Qiu Jiezhong, Cao Huanqi, Wang Yuanwei, Sun Zhenbo, Zheng Liyan, Wang Haojie, Tang Shizhi, Feng Guanyu, Zeng Aohan, Zhong Runxin, Shi Tianhui, Du Zhengxiao,
Ding Ming, Tiago Antunes, Peng Jinjun, Lin Junyang Zhang Jianwei ",2021-05-31,China's gigantic multi-modal AI is no one-trick pony,https://www.engadget.com/chinas-gigantic-multi-modal-ai-is-no-one-trick-pony-211414388.html,,,,1750000000000.0,"""It's been trained on 1.75 trillion parameters""

MoE architecture, ""tens of thousands of experts""
https://keg.cs.tsinghua.edu.cn/jietang/publications/wudao-3.0-meta-en.pdf",1.54350000000001e+24,"It's a mixture-of-experts model, so all 1.75 trillion params were most likely not trained on each token.

""The parameter scale of Enlightenment 2.0 reached a record-breaking 1.75 trillion. According to reports, the new generation FastMoE technology is the key to the realization of the ""Trillion Model"" cornerstone of Enlightenment 2.0.""

Speculatively assuming 3% of parameters are active per forward pass and the model was trained for one epoch: 
6 FLOP / token / parameter * 1.75 * 10^12 parameters * 0.03  * 4.9 * 10^12 tokens [see dataset size notes] = 1.54e+24 FLOP",4900000000000,"[tokens assumed[
""Bilingual (Cn and En) data: 4.9T text and images"" 

https://keg.cs.tsinghua.edu.cn/jietang/publications/wudao-3.0-meta-en.pdf",,,,,Speculative,"Sporting 1.75 trillion parameters, Wu Dao 2.0 is roughly ten times the size of Open AI's GPT-3.",,,API access,China,,,,,,2025-12-01 14:03:25+00:00,,,,,,Academia,True,,,,,"based on this presentation weights and codes could be open sourced but links are unreachable from the US:
https://keg.cs.tsinghua.edu.cn/jietang/publications/wudao-3.0-meta-en.pdf",,2870839.8244998017,,,True,,Operation counting,,,,,No
ByT5-XXL,Language,Language modeling,"Google,Google Research","Linting Xue, Aditya Barua, Noah Constant, Rami Al-Rfou, Sharan Narang, Mihir Kale, Adam Roberts, Colin Raffel",2021-05-28,ByT5: Towards a token-free future with pre-trained byte-to-byte models,https://arxiv.org/abs/2105.13626,688.0,SOTA improvement,"""On the most realistic in-language setting, where some gold training data is available in all languages, ByT5 surpasses the previous state-of-art mT5 on all tasks and model sizes""",12900000000.0,"12.9B, from Table 1",8.1e+22,"""Like mT5, we set our sequence length to 1024 (bytes rather than tokens), and train for 1 million steps over batches of 2^20 tokens.""

12.9 billion * 1 million * 2^20 * 6 = ~8.1e22",1048576000000,,,"Table 9 indicates pretraining completes 25 sequences per second on a TPUv3-64 device. 

""we set our sequence length to 1024 (bytes rather than tokens), and train for 1 million steps over batches of 2^20 tokens."" 

So 1024 sequences per step * 1M steps = 1.024 billion sequences
1.024 B / 25 = 40.96M seconds = 11378 hours or 474 days. This seems implausible, so probably they just used a bigger TPU slice for the full training, but this is not indicated.",Google TPU v3,,Likely,"Most widely-used pre-trained language models operate on sequences of tokens corresponding to word or subword units. By comparison, token-free models that operate directly on raw text (bytes or characters) have many benefits: they can process text in any language out of the box, they are more robust to noise, and they minimize technical debt by removing complex and error-prone text preprocessing pipelines. Since byte or character sequences are longer than token sequences, past work on token-free models has often introduced new model architectures designed to amortize the cost of operating directly on raw text. In this paper, we show that a standard Transformer architecture can be used with minimal modifications to process byte sequences. We characterize the trade-offs in terms of parameter count, training FLOPs, and inference speed, and show that byte-level models are competitive with their token-level counterparts. We also demonstrate that byte-level models are significantly more robust to noise and perform better on tasks that are sensitive to spelling and pronunciation. As part of our contribution, we release a new set of pre-trained byte-level Transformer models based on the T5 architecture, as well as all code and data used in our experiments.",,,Open weights (unrestricted),"United States of America,United States of America",,,,,,2026-05-25 12:13:39+00:00,,,,1048576.0,"""Like mT5, we set our sequence length to 1024 (bytes rather than tokens), and train for 1 million steps over batches of 2^20 tokens""","Industry,Industry",,,,,Open source,"Apache:
https://github.com/google-research/byt5/blob/master/LICENSE

see mC4 notes for data accessibility

training script: https://github.com/google-research/byt5/blob/master/README.md ",,92453.37635669748,,,,,Operation counting,,,,,Yes
CogView,Image generation,"Text-to-image,Image generation","Tsinghua University,Alibaba DAMO Academy","Ming Ding, Zhuoyi Yang, Wenyi Hong, Wendi Zheng, Chang Zhou, Da Yin, Junyang Lin, Xu Zou, Zhou Shao, Hongxia Yang, Jie Tang",2021-05-26,CogView: Mastering Text-to-Image Generation via Transformers,https://arxiv.org/abs/2105.13290,979.0,SOTA improvement,"""CogView achieves the state-of-the-art FID on the blurred MS COCO dataset, outperforming previous GAN-based models and a recent similar work DALL-E""",4000000000.0,"""We propose CogView, a 4-billion-parameter Transformer with VQ-VAE tokenizer to advance this problem.""",2.68e+22,"source: https://lair.lighton.ai/akronomicon/
archived: https://github.com/lightonai/akronomicon/tree/main/akrodb",964800000000,"""We collected about 30 million text-image pairs from multiple channels, and built a 2.5TB new dataset (after tokenization, the size becomes about 250GB).""

250GB * (1 word / 5 bytes) = 50 billion words or 67 billion tokens

So 30M text-image pairs and 50 billion words",,,NVIDIA Tesla V100 DGXS 16 GB,Self-supervised learning,Likely,"Text-to-Image generation in the general domain has long been an open problem, which requires both a powerful generative model and cross-modal understanding. We propose CogView, a 4-billion-parameter Transformer with VQ-VAE tokenizer to advance this problem. We also demonstrate the finetuning strategies for various downstream tasks, e.g. style learning, super-resolution, text-image ranking and fashion design, and methods to stabilize pretraining, e.g. eliminating NaN losses. CogView achieves the state-of-the-art FID on the blurred MS COCO dataset, outperforming previous GAN-based models and a recent similar work DALL-E.",,,Open weights (unrestricted),"China,China",,,,512.0,,2026-05-25 12:13:38+00:00,,,,,,"Academia,Industry",True,,,,Open source,"Apache 2 license

https://github.com/THUDM/CogView

train script: https://github.com/THUDM/CogView/blob/main/scripts/pretrain_single_node.sh ",,60071.706664791694,,FP16,,259056.25043301377,Third-party estimation,,,,,Yes
ConSERT,Language,Language modeling,"Meituan University,Beijing University of Posts and Telecommunications","Yuanmeng Yan, Rumei Li, Sirui Wang, Fuzheng Zhang, Wei Wu, Weiran Xu",2021-05-25,ConSERT: A contrastive framework for self-supervised sentence representation transfer,https://arxiv.org/abs/2105.11741,633.0,,"Trains an effective BERT model on small sample sizes and claims to achieve an 8% improvement over previous SOTA on STA datasets. However, Papers With Code shows that none of the results were actually SOTA at the time of publication.",340000000.0,,2.8e+20,"Fine-tuning was done using a single Nvidia V100 GPU for a few minutes -> 1.0E+15 to 5.0E+15 (2 to 10 min)

Foundation model is BeRT with 2.8e+20 FLOP.

So total compute is 2.8e+20.",,,0.1,,NVIDIA Tesla V100S PCIe 32 GB,,Confident,"Learning high-quality sentence representations benefits a wide range of natural language processing tasks. Though BERT-based pre-trained language models achieve high performance on many downstream tasks, the native derived sentence representations are proved to be collapsed and thus produce a poor performance on the semantic textual similarity (STS) tasks. In this paper, we present ConSERT, a Contrastive Framework for Self-Supervised Sentence Representation Transfer, that adopts contrastive learning to fine-tune BERT in an unsupervised and effective way. By making use of unlabeled texts, ConSERT solves the collapse issue of BERT-derived sentence representations and make them more applicable for downstream tasks. Experiments on STS datasets demonstrate that ConSERT achieves an 8\% relative improvement over the previous state-of-the-art, even comparable to the supervised SBERT-NLI. And when further incorporating NLI supervision, we achieve new state-of-the-art performance on STS tasks. Moreover, ConSERT obtains comparable results with only 1000 samples available, showing its robustness in data scarcity scenarios.",,,Open weights (unrestricted),"China,China",,,,,,2026-05-25 12:13:39+00:00,,,,,,"Academia,Academia",,,,,Open source,https://github.com/yym6472/ConSERT,,957.274379475876,,,,,Hardware,,,,,Yes
MedBERT,Medicine,"Medical diagnosis,Text classification,Prediction of hospital stay duration,Prediction of diabetic heart failure (DHF),Prediction of onset of pancreatic cancer (PaCa)","Peng Cheng Laboratory,University of Texas at Houston","Laila Rasmy, Yang Xiang, Ziqian Xie, Cui Tao, Degui Zhi",2021-05-20,Med-BERT: pretrained contextualized embeddings on large-scale structured electronic health records for disease prediction,https://www.nature.com/articles/s41746-021-00455-y,835.0,SOTA improvement,"""This work is the first demonstration of significantly boosted performance over state-of-the-art methods on multiple clinical tasks with phenotyped cohorts.""

Table 4",17000000.0,"17M from ""This is possibly due to the fact that the untrained Med-BERT is an over-parameterized model (around 17 million parameters) with a huge
number of configurations, so it might overfit to the training data""",9.47e+18,"flops = (1) * (3.13e13) * (24*7 * 3600) * (0.5) = 9.47e18
(num gpu) * (peak flops) * (time in seconds) * (assumed utilization rate)
I assume higher utilization rate, because only 1 GPU is used.
Citation from the text:
""We used a single Nvidia Tesla V100GPU of 32 GB graphics memory capacity, and we trained the model for a week for more than 45 million steps, for which each step consists of 32 patients (batch size)."" - page 11

Note that public code appears not to make use of the tensor core speed up, thus I use 3.13e13 FLOP/sec",14587212800,"data about 28M patients
""Our pretraining cohort for Med-BERT is consisting of 28 million
patients extracted from Cerner""",168.0,"""We used a single Nvidia Tesla V100GPU of 32 GB graphics memory capacity, and we trained the model for a week for more than 45 million steps, for which each step consists of 32 patients (batch size)."" - page 11",NVIDIA Tesla V100 DGXS 32 GB,,Likely,"Deep learning (DL)-based predictive models from electronic health records (EHRs) deliver impressive performance in many clinical tasks. Large training cohorts, however, are often required by these models to achieve high accuracy, hindering the adoption of DL-based models in scenarios with limited training data. Recently, bidirectional encoder representations from transformers (BERT) and related models have achieved tremendous successes in the natural language processing domain. The pretraining of BERT on a very large training corpus generates contextualized embeddings that can boost the performance of models trained on smaller datasets. Inspired by BERT, we propose Med-BERT, which adapts the BERT framework originally developed for the text domain to the structured EHR domain. Med-BERT is a contextualized embedding model pretrained on a structured EHR dataset of 28,490,650 patients. Fine-tuning experiments showed that Med-BERT substantially improves the prediction accuracy, boosting the area under the receiver operating characteristics curve (AUC) by 1.21–6.14% in two disease prediction tasks from two clinical databases. In particular, pretrained Med-BERT obtains promising performances on tasks with small fine-tuning training sets and can boost the AUC by more than 20% or obtain an AUC as high as a model trained on a training set ten times larger, compared with deep learning models without Med-BERT. We believe that Med-BERT will benefit disease prediction studies with small local training datasets, reduce data collection expenses, and accelerate the pace of artificial intelligence aided healthcare.",50.5,,Unreleased,"China,United States of America",,,,1.0,,2026-01-01 14:01:08+00:00,,,,,,"Academia,Academia",,,,168.0,Open source,"Apache 2
https://github.com/ZhiGroup/Med-BERT
training guide: https://github.com/ZhiGroup/Med-BERT/tree/master/Pretraining%20Code 

""Initially we really hoped to share our models but unfortunately, the pre-trained models are no longer sharable. According to SBMI Data Service Office: ""Under the terms of our contracts with data vendors, we are not permitted to share any of the data utilized in our publications, as well as large models derived from those data.""",,62.48645493610712,,FP32,,278.0422249147422,Hardware,,,,,No
